ID,TVC,TVC2,Tubewell,Place
46,4.8,48000000,Manger of dairy farm,Sadar
47,4.4,44000000,Manger of dairy farm,Sadar
48,4.8,48000000,Manger of dairy farm,Sadar
49,2.8,28000000,Manger of dairy farm,Birgonj
50,4.4,44000000,Manger of dairy farm,Birgonj
51,3.2,32000000,Manger of dairy farm,Birgonj
52,4,40000000,Manger of dairy farm,Kaharol
53,3.6,36000000,Manger of dairy farm,Kaharol
54,4.4,44000000,Manger of dairy farm,Kaharol
55,2.8,28000000,Manger of dairy farm,Birol
56,4.8,48000000,Manger of dairy farm,Birol
57,3.6,36000000,Manger of dairy farm,Birol
58,2.6,26000000,Manger of dairy farm,Chirirbandar
59,5.2,52000000,Manger of dairy farm,Chirirbandar
60,4.8,48000000,Manger of dairy farm,Chirirbandar
61,4,40000000,Waterer of Poultry farm,Sadar
62,4.2,42000000,Waterer of Poultry farm,Sadar
63,4.4,44000000,Waterer of Poultry farm,Sadar
64,3.6,36000000,Waterer of Poultry farm,Birgonj
65,3.6,36000000,Waterer of Poultry farm,Birgonj
66,2.4,24000000,Waterer of Poultry farm,Birgonj
67,3.2,32000000,Waterer of Poultry farm,Kaharol
68,2.4,24000000,Waterer of Poultry farm,Kaharol
69,1.6,16000000,Waterer of Poultry farm,Kaharol
70,2,20000000,Waterer of Poultry farm,Birol
71,1.2,12000000,Waterer of Poultry farm,Birol
72,1.8,18000000,Waterer of Poultry farm,Birol
73,1.6,16000000,Waterer of Poultry farm,Chirirbandar
74,2.4,24000000,Waterer of Poultry farm,Chirirbandar
75,2,20000000,Waterer of Poultry farm,Chirirbandar
